,ratio_max_width,ratio_high_low,norm_Bt
2015-10-17 04:55:00,0.11272983461852926,1.0472657001331938,0.9272035340289393
2015-10-17 04:56:00,0.14946128617638554,1.0294010688592155,1.0
2015-10-17 04:57:00,0.02168252133544213,0.9921637103702884,0.870219694080794
2015-10-17 04:58:00,0.253833941350394,0.9697674063976601,1.0
2015-10-17 04:59:00,0.024291265293665765,0.9780361038957575,0.20254455887051814
2015-10-17 05:00:00,0.2771630933021783,1.0459881472263508,1.0
2015-10-17 05:01:00,0.048233189496481144,1.0103570899269125,1.0
2015-10-17 05:02:00,0.0632403350596164,0.9753067501253474,1.0
2015-10-17 05:03:00,0.35543798028834306,0.9577685186957777,0.8413056611515085
2015-10-17 05:04:00,0.21685030444848863,1.0981711401286005,1.0
2015-10-17 05:05:00,0.27612540129428337,1.0123910845969886,0.4510842899468741
2015-10-17 05:06:00,0.5312913200818912,1.0288473859284695,0.12309847450582945
2015-10-17 05:07:00,0.07654880554563803,1.026711666993697,1.0
2015-10-17 05:08:00,0.14484858446636234,0.9512240856153023,1.0
2015-10-17 05:09:00,0.06007958181612727,0.9803808020993482,0.5222245616581862
2015-10-17 05:10:00,0.1862263186672073,0.9519167508329803,0.15497720589971453
2015-10-17 05:11:00,0.09203308314681774,0.9811103104760578,1.0
2015-10-17 05:12:00,0.08233271304691364,1.0041243090059357,0.7304356256364227
2015-10-17 05:13:00,0.031249999999999944,0.992416052221058,1.0
2015-10-17 05:14:00,0.26949507387890226,0.9040878424886815,0.38489323267204023
2015-10-17 05:15:00,0.023697112625742478,1.0454346666503285,1.0
2015-10-17 05:16:00,0.21044386506068657,0.9080035514283142,1.0
2015-10-17 05:17:00,0.040304731430614193,1.0075681137226615,0.7146198608320298
2015-10-17 05:18:00,0.08925754660102536,0.9159513492688464,1.0
2015-10-17 05:19:00,0.3974066029259382,0.9932386230309765,1.0
2015-10-17 05:20:00,0.19943760437862723,0.9890145476661486,0.3472372038331817
2015-10-17 05:21:00,0.29471445281442554,1.0086542131583764,1.0
2015-10-17 05:22:00,0.4167427427818209,1.0570916330405644,0.5988199977593265
2015-10-17 05:23:00,0.09440003882054926,0.9974792053929263,1.0
2015-10-17 05:24:00,0.14831804341010354,0.9651965702053162,0.8570025045009789
2015-10-17 05:25:00,0.023294281916985515,0.9952307605555141,0.40980288378338003
2015-10-17 05:26:00,0.032944156612216,0.9909891914577695,1.0
2015-10-17 05:27:00,0.021715486382332783,0.9836294852711118,1.0
2015-10-17 05:28:00,0.06793321779838024,0.9758802041400106,0.34252115837750496
2015-10-17 05:29:00,0.18393588241098235,1.0149921221283449,0.14017992156763848
2015-10-17 05:30:00,0.03125000000000003,0.9676689750358032,0.9401735611420001
2015-10-17 05:31:00,0.08227802811184032,1.0071720880014454,1.0
2015-10-17 05:32:00,0.1558532834455414,1.0068935001081218,1.0
2015-10-17 05:33:00,0.12558955087807977,0.9968732299308253,0.9420713414620105
2015-10-17 05:34:00,0.1593976722954319,1.0083584149102676,0.7822576054559898
2015-10-17 05:35:00,0.0889539610972353,0.9342170309574629,1.0
2015-10-17 05:36:00,0.05481048691626739,1.0134924213994636,1.0
2015-10-17 05:37:00,0.05185670304223178,1.0959602221624485,1.0
2015-10-17 05:38:00,0.2044193612836791,0.9967295153101243,1.0
2015-10-17 05:39:00,0.11649531184846951,1.0437757158769831,0.03491937490083652
2015-10-17 05:40:00,0.1682120603622358,0.9791448770234055,1.0
2015-10-17 05:41:00,0.029379170236954133,0.9764492489082676,1.0
2015-10-17 05:42:00,0.2154901221977436,0.9873725318104307,0.3079955727183794
2015-10-17 05:43:00,0.03125,0.9993693858495457,1.0
2015-10-17 05:44:00,0.05834693173309846,1.0937125643935854,1.0
2015-10-17 05:45:00,0.11998121030276043,0.9664363047011979,1.0
2015-10-17 05:46:00,0.04601783428064876,1.0073921068921632,1.0
2015-10-17 05:47:00,0.043539631267701884,1.0231029119719264,1.0
2015-10-17 05:48:00,0.5462578117859703,0.999135720138397,1.0
2015-10-17 05:49:00,0.03895029166446662,0.9860502113688823,1.0
2015-10-17 05:50:00,0.28003984701655954,1.033331662068171,1.0
2015-10-17 05:51:00,0.15577814645688493,0.9725557124309324,0.4456256910527796
2015-10-17 05:52:00,0.0844964873525782,0.9886797092361109,1.0
2015-10-17 05:53:00,0.09489242755040128,0.9937441187875803,0.6725918871826024
2015-10-17 05:54:00,0.23690291021598275,1.0046357282351344,0.5837936790966056
2015-10-17 05:55:00,0.03607550052117037,1.0363562803933137,0.4565242622546657
2015-10-17 05:56:00,0.08972303057410631,1.0032414075693188,1.0
2015-10-17 05:57:00,0.19156816541012234,0.9998481227029595,1.0
2015-10-17 05:58:00,0.2026073478779724,1.0481785705149422,1.0
2015-10-17 05:59:00,0.14064247852640593,1.0015912230541872,0.4036859870470708
